"filename", "language", "C#", "comment", "blank", "total"
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\AvatarInput.cs", "C#", 26, 5, 12, 43
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\ControllerManager.cs", "C#", 240, 80, 45, 365
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\GenericVRPlayerComponents.cs", "C#", 27, 3, 8, 38
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\HandSynchronization.cs", "C#", 83, 6, 19, 108
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\HomeRoomManager.cs", "C#", 130, 2, 30, 162
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\InputListener.cs", "C#", 22, 5, 6, 33
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\InputListenerSecondaryButton.cs", "C#", 51, 3, 14, 68
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\LoginManager.cs", "C#", 38, 2, 13, 53
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\LoginUIManager.cs", "C#", 16, 2, 7, 25
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\MovementController.cs", "C#", 49, 4, 19, 72
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\MultiplayerVRConstants.cs", "C#", 6, 0, 4, 10
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\MultiplayerVRSynchronization.cs", "C#", 233, 65, 94, 392
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\NetworkGrabbing.cs", "C#", 69, 2, 13, 84
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\PlayerNetworkSetup.cs", "C#", 50, 4, 10, 64
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\PlayerUIManager.cs", "C#", 14, 1, 4, 19
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\SpawnManger.cs", "C#", 20, 2, 6, 28
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\TableTennisManager.cs", "C#", 47, 2, 11, 60
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\TableTennisMulti.cs", "C#", 43, 2, 11, 56
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\UIManager.cs", "C#", 29, 1, 7, 37
"d:\dev\Unity\Udemy\MultiPlayer\MultiPlayerVRGame\Assets\Scripts\VirtualWorldManager.cs", "C#", 36, 4, 12, 52
"Total", "-", 1229, 195, 345, 1769